id,col1,col2,col3,col4,col5,labels
42209,0,0,0,1,0,1
38469,0,0,0,1,0,1
31954,0,2,0,1,0,1
35812,0,0,0,1,0,1
47507,0,0,0,1,0,1
48269,0,0,0,1,0,1
2890,0,0,0,1,0,0
106,0,0,0,0,0,0
31554,1,3,1,1,2,1
29515,0,3,1,1,0,1
18342,0,0,0,1,0,0
17467,0,0,0,0,0,0
13652,1,0,0,1,0,0
7088,0,3,1,1,0,0
38466,0,0,0,0,0,1
22830,0,0,0,0,0,0
19661,0,2,0,0,0,0
3646,0,0,0,1,2,0
30053,0,1,0,0,2,1
28384,0,0,0,0,0,1
47426,0,1,0,1,0,1
3969,0,0,0,1,0,0
45115,0,0,1,1,2,1
14236,0,0,0,1,0,0
6574,0,0,0,1,2,0
11663,0,1,1,1,2,0
9497,0,0,0,0,0,0
1822,0,2,0,0,0,0
19437,0,0,0,1,0,0
37198,0,0,0,0,2,1
49751,1,3,1,1,0,1
45598,0,3,0,1,0,1
14367,0,0,0,0,0,0
40099,0,0,0,1,0,1
32732,0,0,0,1,0,1
34489,1,0,1,1,2,1
20562,0,0,0,0,0,0
43231,1,3,1,1,2,1
36399,0,0,0,1,0,1
5268,0,3,0,1,0,0
9811,0,3,1,0,0,0
27861,0,3,0,1,2,1
1756,0,0,0,0,0,0
33954,0,3,1,1,0,1
45681,1,0,0,1,0,1
43570,0,0,1,1,0,1
29903,1,0,0,1,0,1
12056,0,0,0,1,0,0
27327,0,0,0,0,0,0
23712,0,0,0,1,0,0
44337,0,3,1,1,2,1
248,0,0,0,1,0,0
30651,0,0,1,1,0,1
47842,0,0,0,0,0,1
18530,0,0,0,0,2,0
29229,0,2,1,1,2,1
22858,0,0,0,1,0,0
38130,1,1,0,1,0,1
22057,0,1,0,0,0,0
48266,0,1,0,1,2,1
53567,0,2,0,1,2,1
